State,EV,Democratic,Republican,Other
Alabama,9,692611,941173,32488
Alaska,3,79004,167398,39158
Arizona,8,685341,781652,65023
Arkansas,6,422768,472940,26073
California,54,5861203,4567429,537190
Colorado,8,738227,883748,119393
Connecticut,8,816015,561094,82416
Delaware,3,180068,137288,10173
District of Columbia,3,171923,18073,11898
Florida,25,2912253,2912790,138067
Georgia,13,1116230,1419720,47258
Hawaii,4,205286,137845,24820
Idaho,4,138637,336937,26041
Illinois,22,2589026,2019421,133661
Indiana,12,901980,1245836,51486
Iowa,7,638517,634373,80132
Kansas,6,399276,622332,50608
Kentucky,8,638923,872520,32663
Louisiana,9,792344,927871,45441
Maine,2,319951,286616,45250
ME-1,1,176293,148618,24040
ME-2,1,143658,137998,21210
Maryland,10,1144008,813827,67377
Massachusetts,12,1616487,878502,238975
Michigan,18,2170418,1953139,108944
Minnesota,10,1168266,1109659,160760
Mississippi,7,404614,572844,16726
Missouri,11,1111138,1189924,58830
Montana,3,137126,240178,33682
Nebraska,2,231780,433862,31377
NE-1,1,86946,142562,12515
NE-2,1,88975,131485,10552
NE-3,1,55859,159815,8310
Nevada,4,279978,301575,27873
New Hampshire,4,266348,273559,29174
New Jersey,15,1788850,1284173,114203
New Mexico,5,286783,286417,25405
New York,33,3942215,2258577,759423
North Carolina,14,1257692,1631163,26135
North Dakota,3,95284,174852,18120
Ohio,21,2183628,2350363,168007
Oklahoma,8,474276,744337,15616
Oregon,7,720342,713577,100031
Pennsylvania,23,2485967,2281127,145091
Rhode Island,4,249508,130555,29049
South Carolina,8,566037,786892,30973
South Dakota,3,118804,190700,6765
Tennessee,11,981720,1061949,32512
Texas,32,2433746,3799639,174252
Utah,5,203053,515096,52605
Vermont,3,149022,119775,25511
Virginia,13,1217290,1437490,84667
Washington,11,1247652,1108864,130917
West Virginia,5,295497,336475,16152
Wisconsin,11,1242987,1237279,118341
Wyoming,3,60481,147947,5298
