State,EV,Democratic,Republican,Other
Alabama,9,772412,1462616,30062
Alaska,3,140026,184458,13693
Arizona,11,1582860,1770242,37059
Arkansas,6,396905,759241,26530
California,54,9276179,6081697,507599
Colorado,10,1728159,1377441,87145
Connecticut,7,992053,736918,30039
Delaware,3,289758,214351,8803
D.C.,3,294185,21076,10608
Florida,30,4683038,6110125,100589
Georgia,16,2548017,2663117,39771
Hawaii,4,313044,193661,9996
Idaho,4,274972,605246,24839
Illinois,19,3062863,2449079,121368
Indiana,11,1163603,1720347,52727
Iowa,6,707278,927019,29209
Kansas,6,544853,758802,23936
Kentucky,8,704043,1337494,32993
Louisiana,8,766870,1208505,31600
Maine,2,435652,377977,17746
ME-1,1,258863,165214,9632
ME-2,1,176789,212763,8114
Maryland,10,1902577,1035550,100207
Massachusetts,11,2126518,1251303,95847
Michigan,15,2736533,2816636,111017
Minnesota,10,1656979,1519032,77909
Mississippi,6,466668,747744,13596
Missouri,10,1200599,1751986,42742
Montana,4,231906,352079,19005
Nebraska,2,369995,564816,17371
NE-1,1,136153,177666,6375
NE-2,1,163541,148905,6200
NE-3,1,70301,238245,4796
Nevada,6,705197,751205,28438
New Hampshire,4,418488,395523,12178
New Jersey,14,2220713,1968215,83797
New Mexico,5,478802,423391,21210
New York,28,4619195,3578899,64401
North Carolina,16,2715375,2898423,85343
North Dakota,3,112327,246505,9323
Ohio,17,2533699,3180116,53973
Oklahoma,7,499599,1036213,30361
Oregon,8,1240600,919480,84413
Pennsylvania,19,3423042,3543308,92382
Rhode Island,4,285156,214406,13824
South Carolina,9,1028452,1483747,35941
South Dakota,3,146859,272081,9982
Tennessee,11,1056265,1966865,40812
Texas,40,4835250,6393597,159827
Utah,6,562566,883818,42110
Vermont,3,235791,119395,14236
Virginia,13,2335395,2075085,95461
Washington,12,2245849,1530923,147471
West Virginia,4,214309,533556,14717
Wisconsin,10,1668229,1697626,57063
Wyoming,3,69527,192633,6888
