State,EV,Democratic,Republican,Other
Alabama,9,795696,1255925,22717
Alaska,3,122640,164676,13179
Arizona,11,1025232,1233654,40368
Arkansas,6,394409,647744,27315
California,55,7854285,4839958,344304
Colorado,9,1323102,1185243,61173
Connecticut,7,905083,634892,18985
Delaware,3,242584,165484,5853
District of Columbia,3,267070,21381,5313
Florida,29,4237756,4163447,72976
Georgia,16,1773827,2078688,47535
Hawaii,4,306658,121015,7024
Idaho,4,212787,420911,23044
Illinois,20,3019512,2135216,87286
Indiana,11,1152887,1420543,51104
Iowa,6,822544,730617,29019
Kansas,6,440726,692634,26611
Kentucky,8,679370,1087190,30652
Louisiana,8,809141,1152262,32662
Maine,2,401306,292276,19598
ME-1,1,223035,142937,8447
ME-2,1,177998,149215,9013
Maryland,10,1677844,971869,57614
Massachusetts,11,1921290,1188314,58163
Michigan,16,2564569,2115256,51136
Minnesota,10,1546167,1320225,70169
Mississippi,6,562949,710746,11889
Missouri,10,1223796,1482440,51087
Montana,3,201839,267928,14281
Nebraska,2,302081,475064,17234
NE-1,1,108082,152021,4609
NE-2,1,121889,140976,3862
NE-3,1,72110,182067,5046
Nevada,6,531373,463567,19978
New Hampshire,4,369561,329918,11493
New Jersey,14,2125101,1477568,37623
New Mexico,5,415335,335788,32635
New York,29,4485741,2490431,104987
North Carolina,15,2178391,2270395,56586
North Dakota,3,124827,188163,9637
Ohio,18,2827709,2661437,91701
Oklahoma,7,443547,891325,0
Oregon,7,970488,754175,64607
Pennsylvania,20,2990274,2680434,82962
Rhode Island,4,279677,157204,9168
South Carolina,9,865941,1071645,26532
South Dakota,3,145039,210610,8166
Tennessee,11,960709,1462330,35538
Texas,38,3308124,4569843,115884
Utah,6,251813,740600,25027
Vermont,3,199239,92698,7353
Virginia,13,1971820,1822522,60147
Washington,12,1755396,1290670,79450
West Virginia,5,238269,417655,14514
Wisconsin,10,1620985,1407966,39483
Wyoming,3,69286,170962,8813
