State,EV,Democratic,Republican,Other
Alabama,9,813479,1266546,19794
Alaska,3,123594,193841,8762
Arizona,10,1034707,1230111,28657
Arkansas,6,422310,638017,26290
California,55,8274473,5011781,275646
Colorado,9,1288576,1073589,39196
Connecticut,7,997772,629428,19592
Delaware,3,255459,152374,4579
District of Columbia,3,245800,17367,2686
Florida,27,4282074,4045624,63046
Georgia,15,1844123,2048759,31604
Hawaii,4,325871,120566,9627
Idaho,4,236440,403012,15670
Illinois,21,3419348,2031179,71844
Indiana,11,1374039,1345648,31367
Iowa,7,828940,682379,25804
Kansas,6,514765,699655,21452
Kentucky,8,751985,1048462,26173
Louisiana,9,782989,1148275,29497
Maine,2,421923,295273,13967
ME-1,1,232145,144604,6877
ME-2,1,189778,150669,7090
Maryland,10,1629467,959862,42267
Massachusetts,12,1904097,1108854,90044
Michigan,17,2872579,2048639,80378
Minnesota,10,1573354,1275409,61606
Mississippi,6,554662,724597,10606
Missouri,11,1441911,1445814,37480
Montana,3,231667,242763,15679
Nebraska,2,333319,452979,14983
NE-1,1,121411,148179,4303
NE-2,1,138809,135439,3561
NE-3,1,73099,169361,4282
Nevada,5,533736,412827,21285
New Hampshire,4,384826,316534,9610
New Jersey,15,2215422,1613207,39608
New Mexico,5,472422,346832,10904
New York,31,4645332,2418323,658364
North Carolina,15,2142651,2128474,39726
North Dakota,3,141278,168601,6742
Ohio,20,2940044,2677820,90486
Oklahoma,7,502496,960165,0
Oregon,7,1037291,738475,52098
Pennsylvania,21,3276363,2655885,81024
Rhode Island,4,296571,165391,9804
South Carolina,8,862449,1034896,23624
South Dakota,3,170924,203054,7997
Tennessee,11,1087437,1479178,33134
Texas,34,3528633,4479328,69834
Utah,5,327670,596030,28670
Vermont,3,219262,98974,6810
Virginia,13,1959532,1725005,38723
Washington,11,1750848,1229216,56814
West Virginia,5,303857,397466,12128
Wisconsin,10,1677211,1262393,43813
Wyoming,3,82868,164958,7078
