State,EV,Democratic,Republican,Other
Alabama,9,729547,1318255,75570
Alaska,3,116454,163387,38767
Arizona,11,1161209,1252401,159555
Arkansas,6,380494,684872,65269
California,55,8753788,4483810,943997
Colorado,9,1338870,1202484,238866
Connecticut,7,897572,673215,74133
Delaware,3,235603,185127,20860
District of Columbia,3,282830,12723,17022
Florida,29,4504975,4617886,297178
Georgia,16,1877963,2089104,147665
Hawaii,4,266891,128847,41926
Idaho,4,189765,409055,91435
Illinois,20,3090729,2146015,299680
Indiana,11,1033126,1557286,144546
Iowa,6,653669,800983,110928
Kansas,6,427005,671018,86379
Kentucky,8,628854,1202971,92324
Louisiana,8,780154,1178638,70240
Maine,2,357735,335593,78564
ME-1,1,212774,154384,27171
ME-2,1,144817,181177,27422
Maryland,10,1678006,943428,160012
Massachusetts,11,1995196,1090893,292732
Michigan,16,2268839,2279543,250902
Minnesota,10,1367705,1322949,254128
Mississippi,6,485131,700714,23512
Missouri,10,1071068,1594511,143026
Montana,3,177709,279240,37577
Nebraska,2,284494,495961,63772
NE-1,1,100132,158642,23564
NE-2,1,131030,137564,23086
NE-3,1,53332,199755,17022
Nevada,6,539260,512058,74067
New Hampshire,4,348526,345790,49980
New Jersey,14,2148278,1601933,123835
New Mexico,5,385234,319667,93418
New York,29,4379789,2527142,895153
North Carolina,15,2189316,2362631,189617
North Dakota,3,93758,216794,33808
Ohio,18,2394164,2841005,261318
Oklahoma,7,420375,949136,83481
Oregon,7,1002106,782403,216827
Pennsylvania,20,2926441,2970733,218228
Rhode Island,4,252525,180543,31076
South Carolina,9,855373,1155389,92265
South Dakota,3,117458,227721,24914
Tennessee,11,870695,1522925,114407
Texas,38,3877868,4685047,406311
Utah,6,310674,515211,305432
Vermont,3,178573,95369,46525
Virginia,13,1981473,1769443,231836
Washington,12,1742718,1221747,352554
West Virginia,5,188794,489371,34886
Wisconsin,10,1382536,1405284,188330
Wyoming,3,55973,174419,28396
